CM_1,CM_2,CM_4,CM_5,CM_6,FRMS_1,FRMS_2,FRMS_3,SWMS_1,SWMS_2,SWMS_3,SWMS_4,SWMS_5,IUS_1,IUS_3,IUS_4,IUS_5,IUS_6,CM_1_A,CM_2_A,CM_3_A,CM_4_A,CM_5_A,SHFR_1,SHFR_2,SHFR_3,SHFR_4,SHFR_5
5,5,5,4,4,3,4,4,5,5,5,5,4,3,5,3,3,4,5,5,5,4,5,5,5,5,5,5
3,2,3,3,3,4,5,4,3,2,3,3,5,4,3,4,3,4,2,2,3,2,2,3,3,5,4,4
4,3,4,5,5,3,3,3,4,3,3,4,3,3,4,3,3,3,5,4,4,4,3,5,5,4,4,4
3,4,5,5,4,5,5,5,3,4,5,5,5,5,3,5,5,5,4,2,3,3,3,5,4,5,4,5
4,4,4,4,2,5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,4
3,4,3,3,4,4,2,2,3,4,2,3,2,4,3,4,2,2,4,4,2,4,2,4,2,2,4,4
3,4,4,2,4,3,4,4,3,4,3,4,4,3,3,3,4,4,4,4,2,4,2,3,2,4,4,4
4,2,4,3,4,2,2,4,4,2,2,4,2,2,4,2,2,4,5,4,4,5,4,4,4,4,2,3
4,4,4,4,5,3,4,4,4,4,2,4,4,3,4,3,4,4,4,4,2,4,4,4,5,4,5,4
4,5,3,4,4,4,4,5,4,5,5,3,4,4,4,3,4,5,1,3,1,5,5,1,4,4,4,4
4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,3,4,4,5,3,4,4,4,4,4,4,4,4
4,4,4,4,4,4,2,4,4,4,4,4,2,4,4,3,2,4,5,4,4,4,5,4,2,4,4,4
2,3,3,5,4,4,4,4,2,3,3,3,4,4,2,3,4,4,4,4,4,2,2,4,4,3,4,4
2,3,3,4,4,5,4,4,2,3,3,3,4,5,2,5,4,4,3,4,4,3,3,1,2,4,4,4
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,5,5,3,3,3,4,3,1,4,3,3,4,3,3,3,4,4,4,4,5,4,3,4,4,4
4,4,4,4,3,5,4,5,4,4,3,4,4,5,4,5,4,5,4,4,3,4,4,4,3,4,4,4
4,4,4,3,3,4,3,3,4,4,5,4,3,4,4,4,3,3,4,4,4,4,4,5,5,4,5,4
2,2,3,5,4,3,3,3,2,2,3,3,3,3,2,3,3,3,3,3,4,3,3,2,3,2,3,3
4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,5,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5,4,5,5,5,4,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,5,5,4,4,4,5,4
4,4,2,3,5,5,5,5,4,4,2,2,5,5,4,5,5,5,4,2,4,1,5,3,3,5,5,5
3,3,3,2,1,3,4,5,3,3,3,3,4,3,3,3,4,5,4,5,1,3,4,2,2,2,2,2
4,3,4,4,4,2,2,1,4,3,4,4,2,2,4,2,2,1,4,3,3,4,4,5,5,5,5,5
4,5,5,1,2,4,2,4,4,5,4,5,2,4,4,4,2,4,5,4,4,4,4,5,3,4,4,4
2,3,3,3,3,1,2,2,2,3,2,3,2,1,2,1,2,2,2,3,3,3,2,3,2,3,2,3
2,2,3,3,4,3,3,3,2,2,4,3,3,3,2,3,3,3,2,2,4,4,2,2,2,4,4,4
4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,3,4,3,5,5,3,5,5,2,5,4,5,4
4,4,4,5,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,5,4,4,4,5,4,4,5
4,4,4,4,4,5,4,4,4,4,4,4,4,5,4,5,4,3,5,5,5,4,4,4,4,4,5,5
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
4,5,5,4,4,3,4,3,4,5,5,5,4,3,4,3,4,3,5,5,3,5,4,5,4,4,5,4
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4
4,3,3,5,5,3,3,3,4,3,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,5,4,4
4,5,4,4,4,5,5,5,4,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,4,4
2,3,2,2,2,4,5,4,2,3,3,2,5,4,2,4,5,4,5,1,1,1,1,4,3,2,3,2
1,1,1,3,3,2,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,2,3,2,1,2
2,2,3,5,5,3,3,3,2,2,4,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,3,3
4,4,4,4,3,5,5,5,4,4,4,4,5,5,4,5,5,5,4,5,4,4,4,4,4,4,4,4
3,4,3,5,4,4,2,3,3,4,3,3,2,4,3,4,2,3,3,2,1,3,1,4,3,4,3,4
4,5,5,3,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,4,4,5,5,5,4,5,4,4
3,4,3,3,3,3,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3
4,4,4,5,5,3,3,3,4,4,4,4,3,3,4,3,3,3,4,4,4,4,3,4,4,5,5,5
4,4,4,4,4,5,3,5,4,4,4,4,3,5,4,5,3,3,4,4,4,4,4,5,5,5,5,5
5,5,5,2,2,4,4,4,5,5,5,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4
3,2,2,3,3,2,1,2,3,2,2,2,1,2,3,2,1,2,4,2,4,4,2,4,2,2,4,4
3,4,4,4,4,3,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,3
4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4
4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,2,3,4,4,4,4
4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,5,5,3,5,4,4,5,4,5,5,5,5,5
4,4,4,4,4,5,4,5,4,4,4,4,4,5,4,5,4,5,5,5,5,5,4,5,5,4,4,5
3,3,4,5,5,4,2,4,3,3,3,4,2,4,3,4,2,3,2,2,1,2,2,3,4,4,4,5
4,4,4,3,3,5,5,5,4,4,4,4,5,5,4,5,5,3,5,4,4,1,4,4,4,4,4,4
2,3,3,5,5,3,3,3,2,3,2,3,3,3,2,3,3,3,2,2,2,3,2,4,4,3,4,5
4,4,5,3,3,5,5,5,4,4,4,5,5,5,4,5,5,5,5,4,4,4,5,5,4,5,5,4
4,4,4,4,4,3,4,3,4,4,3,4,4,3,4,3,4,3,4,4,3,4,4,4,4,4,5,5
4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,4,5,5,5,4,5,4,5,4,4,4,5,4,3,4,5,5,5,4,5,5,4,5,4,5,5
4,4,4,4,3,5,4,5,4,4,4,4,4,5,4,3,4,5,4,4,4,4,4,4,4,4,5,4
4,3,3,2,2,4,3,3,4,3,3,3,3,4,4,3,3,3,4,4,4,4,3,3,2,2,3,3
4,2,5,1,2,2,2,2,4,2,4,5,2,2,4,2,2,2,4,5,4,5,4,2,4,4,5,4
1,1,1,5,4,1,4,2,1,1,1,1,4,1,1,1,4,2,4,4,2,2,2,3,4,5,4,4
4,4,4,4,4,5,5,4,4,4,2,4,5,5,4,5,5,4,5,5,4,4,4,4,4,4,4,4
3,4,4,4,4,4,4,4,3,4,3,4,4,4,3,4,4,4,5,3,3,3,3,4,3,3,4,4
4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
2,2,4,4,4,4,4,3,2,2,2,4,4,4,2,3,4,3,5,4,5,4,5,4,4,4,5,5
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,2,4,4,4,4,4
4,4,3,5,4,3,3,3,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4
4,3,4,4,4,5,4,4,4,3,4,4,4,5,4,5,4,3,5,5,5,5,5,4,5,4,4,3
2,2,5,5,5,4,4,4,2,2,2,5,4,4,2,4,4,3,4,4,4,4,4,4,4,4,4,3
2,2,2,4,4,5,5,5,2,2,2,2,5,5,2,5,5,3,5,3,4,4,2,2,2,2,2,3
2,2,2,4,3,4,4,4,2,2,2,2,4,4,2,4,4,4,2,2,2,2,2,3,4,4,4,4
4,5,5,3,4,4,3,3,4,5,4,5,3,4,4,4,3,3,4,4,4,5,5,4,4,5,4,5
3,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,3,4
3,4,4,5,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,2,3,4,4,4,4,4
3,4,4,4,4,5,5,4,3,4,3,4,5,5,3,5,3,4,5,3,4,4,2,4,4,4,3,4
4,2,4,5,5,4,4,4,4,2,2,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4
4,4,4,4,4,5,5,5,4,4,4,4,5,5,4,5,3,5,4,4,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,2,4,4,4,4,4,2,4,3,4,2,4,2,2,4,3,4,4,4,4
4,4,2,4,4,4,4,4,4,4,2,2,4,4,4,4,3,4,5,3,4,4,3,2,4,4,4,4
5,5,5,3,3,4,4,4,5,5,5,5,4,4,5,4,3,4,5,4,4,4,4,4,5,5,5,4
4,4,2,2,2,3,3,3,4,4,4,2,3,3,4,3,3,3,4,4,4,4,2,2,4,4,4,4
4,4,4,3,3,2,2,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,3,4
4,4,4,3,4,3,4,3,4,4,2,4,4,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4
3,3,4,3,3,4,4,4,3,3,2,4,4,4,3,4,4,4,5,5,5,4,4,3,4,4,5,5
4,4,5,3,2,4,4,4,4,4,4,5,4,4,4,4,4,4,5,2,4,4,2,5,5,5,5,5
4,4,4,3,3,2,2,2,4,4,4,4,2,2,4,2,2,2,4,4,4,4,4,4,4,4,4,4
2,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,3,3,4,4,4,3,4,2,2,2,2,3
3,2,4,4,4,3,4,3,3,2,2,4,4,3,3,3,4,3,3,4,4,3,4,4,2,3,4,3
4,2,4,4,4,4,5,4,4,2,3,4,5,4,4,4,5,4,4,4,4,5,4,4,5,4,5,4
5,4,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,5,5,5,4,5,4,5,4
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,3,4,5,4
4,4,4,3,1,3,2,3,4,4,4,4,2,3,4,3,2,3,4,4,4,4,4,4,4,4,4,4
3,2,3,4,4,2,2,1,3,2,4,3,2,2,3,2,2,1,4,3,3,5,4,3,4,3,4,4
4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,2,4,4,4
2,2,2,4,4,4,4,4,2,2,2,2,4,4,2,4,4,4,4,3,2,4,2,4,3,4,3,3
4,5,5,5,3,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4
5,5,5,3,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,3,3,4,2,4,5,4
5,5,5,3,3,4,5,5,5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,4,5,5,4,5
3,2,4,4,5,3,3,3,3,2,2,4,3,3,3,3,3,3,2,2,2,2,2,2,2,4,3,4
4,4,4,3,3,4,4,5,4,4,5,4,4,4,4,4,4,5,4,4,4,5,4,4,5,4,5,4
4,4,4,3,4,3,3,3,4,4,4,4,3,3,4,3,3,3,5,5,5,5,5,4,4,4,5,4
3,4,4,3,3,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,4,4,4
4,5,5,2,2,5,5,5,4,5,4,5,5,5,4,5,5,5,4,5,4,5,4,4,4,5,5,4
3,2,3,3,3,2,2,2,3,2,2,3,2,2,3,2,2,2,1,1,3,3,4,3,2,3,2,3
4,4,4,5,5,3,3,3,4,4,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,5,4,4,4,4,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,1,4,4,4,4,4
4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4
5,4,1,5,5,4,4,5,5,4,4,1,4,4,5,4,4,5,5,4,4,4,4,4,5,4,4,2
4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,5,4,4,4,4,4,5,4
5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5
4,3,3,5,4,3,3,3,4,3,3,3,3,3,4,3,3,3,5,4,4,4,2,3,2,4,3,4
4,4,4,4,5,5,5,4,4,4,4,4,5,5,4,5,5,4,5,5,4,5,4,3,4,4,4,5
5,4,4,3,4,4,5,5,5,4,4,4,5,4,5,4,5,5,5,4,5,4,4,5,5,5,4,4
4,4,4,4,5,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,2,4,3,4,4,3,4
3,4,4,3,4,4,5,5,3,4,4,4,5,4,3,4,5,5,4,4,3,4,4,4,4,4,5,5
4,3,2,1,2,3,4,4,4,3,2,2,4,3,4,3,4,4,4,4,4,4,2,4,4,3,4,3
5,4,4,4,4,1,2,2,5,4,5,4,2,1,5,1,2,2,5,5,4,4,4,4,5,4,5,4
4,2,3,3,3,4,4,4,4,2,2,3,4,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4
4,4,3,3,5,3,3,3,4,4,4,3,3,3,4,3,3,3,3,5,4,4,4,3,4,4,4,4
4,4,4,3,4,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,4,5,2,2,2,4,5,5
5,4,4,5,5,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,5,5,4
3,3,4,3,5,5,1,5,3,3,3,4,1,5,3,5,1,5,3,4,3,2,2,4,5,4,4,4
3,3,3,2,1,3,5,5,3,3,3,3,5,3,3,3,5,5,3,1,5,4,3,3,2,4,4,4
2,1,2,1,3,2,2,1,2,1,2,2,2,2,2,2,2,1,1,1,3,1,2,2,1,2,3,2
4,3,1,2,3,1,2,3,4,3,2,1,2,1,4,1,2,3,4,4,4,4,5,3,2,2,3,2
3,4,4,1,3,2,3,3,3,4,4,4,3,2,3,2,3,3,2,4,2,1,2,2,3,4,4,4
3,2,4,4,4,1,4,3,3,2,2,4,4,1,3,1,4,3,5,5,4,2,5,4,3,4,5,4
4,3,3,4,4,4,5,4,4,3,4,3,5,4,4,4,5,4,4,3,4,4,3,4,5,4,5,4
4,4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,5,4,4,4,4,4,5,4,4
1,3,4,3,4,4,4,4,1,3,4,4,4,4,1,4,4,4,4,5,5,4,4,4,4,4,4,4
3,4,4,3,2,4,3,4,3,4,3,4,3,4,3,4,3,4,2,2,5,4,4,4,4,4,4,4
4,3,5,5,4,3,2,2,4,3,4,5,2,3,4,3,2,2,4,3,3,3,3,3,4,3,4,5
4,4,4,2,2,5,5,4,4,4,4,4,5,5,4,5,5,4,5,4,5,4,4,5,5,5,4,5
4,4,5,5,4,2,2,2,4,4,3,5,2,2,4,2,2,2,3,2,2,2,2,3,4,4,4,4
3,2,3,4,5,5,4,4,3,2,2,3,4,5,3,5,4,4,5,5,5,5,5,3,3,3,4,5
4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,4,4,5,5,5,4,5,5,4,5,4,5,5
4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,3,4,4,4,4,3,4
4,5,4,2,2,1,1,1,4,5,5,4,1,1,4,1,1,1,5,5,4,4,5,4,5,4,5,4
3,2,3,5,5,2,2,2,3,2,2,3,2,2,3,2,2,2,1,1,1,3,4,3,3,3,3,3
5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5
3,2,2,3,4,4,4,4,3,2,3,2,4,4,3,3,4,4,4,4,2,4,3,4,3,4,3,4
4,4,4,3,4,4,5,4,4,4,4,4,5,4,4,3,3,4,5,4,4,4,4,4,5,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4
3,4,3,5,2,4,2,4,3,4,4,3,2,4,3,3,2,4,4,4,4,4,2,4,4,4,4,5
5,4,4,3,5,5,4,2,5,4,5,4,4,5,5,3,4,2,5,2,2,4,2,4,5,4,4,5
5,4,4,4,4,5,5,5,5,4,4,4,5,5,5,3,5,5,4,4,4,3,3,5,5,4,1,4
2,3,3,5,5,4,4,4,2,3,2,3,4,4,2,4,4,4,4,4,3,4,4,2,3,2,4,4
4,5,5,4,4,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,4,5,4,5,4,5,5
2,2,3,3,3,4,4,4,2,2,3,3,4,4,2,4,4,4,3,4,4,4,4,4,3,3,4,3
4,4,5,5,4,3,3,3,4,4,4,5,3,3,4,3,3,3,5,5,5,2,4,4,4,5,4,4
2,2,4,3,4,5,4,4,2,2,3,4,4,5,2,5,4,4,4,4,4,4,1,3,4,3,4,3
3,2,4,3,4,3,5,4,3,2,4,4,5,3,3,3,5,4,5,2,2,4,2,4,4,3,4,3
3,4,3,5,5,3,3,4,3,4,4,3,3,3,3,3,3,4,5,5,4,4,4,3,3,4,4,4
5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,4,4,4,5,5,5,5,5
4,4,3,3,4,5,5,5,4,4,4,3,5,5,4,3,5,5,5,5,4,5,5,4,5,4,4,4
5,5,5,2,2,3,4,4,5,5,5,5,4,3,5,3,4,4,3,4,3,4,4,4,4,4,4,4
2,2,2,3,3,2,4,2,2,2,2,2,4,2,2,2,4,2,4,4,2,4,4,4,2,4,3,3
4,4,3,4,4,3,3,3,4,4,4,3,3,3,4,3,3,3,4,4,4,4,4,4,5,5,5,5
4,4,4,2,3,4,5,4,4,4,4,4,5,4,4,4,5,4,5,5,5,5,4,4,5,4,5,5
5,5,5,2,2,2,3,3,5,5,4,5,3,2,5,2,3,3,4,4,4,4,4,4,4,4,4,4
4,3,3,4,4,2,2,2,4,3,4,3,2,2,4,2,2,2,4,2,1,4,1,2,2,4,3,2
4,3,4,4,2,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,1,1,1,2,2,3,2
4,4,4,4,4,4,2,2,4,4,3,4,2,4,4,4,2,2,5,5,2,4,4,4,4,4,4,4
5,4,5,4,3,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,5,5,5,5,4,5,4,5
2,4,4,4,3,4,4,4,2,4,4,4,4,4,2,4,4,4,4,4,2,2,2,2,4,4,3,4
4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,3,3,3,4,4
3,4,4,3,2,2,4,4,3,4,3,4,4,2,3,2,4,4,4,3,4,4,4,4,4,5,4,5
4,2,4,4,4,3,4,2,4,2,3,4,4,3,4,3,4,2,4,4,4,2,2,3,3,4,4,4
2,2,4,5,3,4,4,4,2,2,3,4,4,4,2,4,4,4,3,1,1,1,1,4,4,4,4,4
3,3,3,3,4,5,4,5,3,3,4,3,4,5,3,5,4,5,4,4,3,4,4,4,5,4,3,3
2,3,3,3,3,3,3,4,2,3,2,3,3,3,2,3,3,4,4,4,4,4,2,3,4,4,4,4
4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4
4,3,3,1,2,3,3,3,4,3,4,3,3,3,4,3,3,3,3,4,4,4,4,2,4,3,3,3
4,4,4,4,4,1,4,2,4,4,4,4,4,1,4,1,4,2,5,4,4,4,3,4,5,4,5,5
4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,4,4,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,4
